,id,data
0,EED-LEWOCv0,"{0: 0.0014641899191984082, 1: 1.6685925004960656e-05, 2: 4.588629376412346e-05, 3: 2.920036875905135e-05, 4: 0.4634098522044193, 5: 0.5313465958627255}"
1,t7uqHosIj4s,"{0: 0.0014384951128050658, 1: 3.278621339728653e-05, 2: 2.0491383373246212e-05, 3: 4.508104342129432e-05, 4: 3.688449007194488e-05, 5: 0.3319030347738769, 6: 0.6637282022909365}"
2,_Rl82OQDoOc,"{1: 0.003192078555818199, 2: 0.6847364009220731, 3: 5.6132682693129645e-05, 4: 7.484357692422649e-06, 5: 0.3110536478759388}"
3,pw8dkF-jotk,"{0: 0.48568031046728444, 1: 0.010547098416965942, 2: 0.005364026768431984, 3: 0.4912414490627498}"
4,j9NeQTkJjIs,"{0: 0.0005892428914011648, 1: 4.5677743519470645e-06, 2: 0.0, 3: 0.0, 4: 4.5677743519470645e-06, 5: 0.0, 6: 0.0, 7: 0.19989950896425684, 8: 0.7800296905332883, 9: 0.01734840698869486}"
5,EToUmoEYGuU,"{0: 0.2831226761311523, 1: 0.0016025641025643241, 2: 0.001192114539572512, 3: 0.6184690231300413, 4: 0.06348688975807582, 5: 0.009186826983437202, 6: 0.01563329953160468}"
6,d5XTDmm0KUQ,"{0: 0.0011537662777192346, 1: 1.5383550369576626e-05, 2: 0.625672068856771, 3: 1.5383550369465603e-05, 4: 0.3633286926289733, 5: 0.0022383065787753877, 6: 9.99930774023515e-05}"
7,whRVyywTov4,"{0: 0.526712365162868, 1: 0.437722514480046, 2: 0.02474626707051345, 5: 0.00027100271002711285, 6: 0.0030554227110898835, 7: 0.003119188054625688, 4: 0.0015037993517190151, 3: 0.0}"
8,Rm0GNWSKzYs,"{0: 0.8511260325689747, 1: 0.0018140613415640959, 2: 0.0, 3: 0.0, 4: 1.0516297632372868e-05, 5: 0.0, 6: 0.0, 7: 0.002944563337031186, 8: 0.13902019654960163, 9: 5.258148816134067e-05}"
9,xJ6Ym719urg,"{0: 0.8197381162898403, 1: 0.0061428992463477, 2: 0.16139530967117124, 3: 0.005797650625236838, 5: 0.0016546671719085415, 4: 0.0008925939960422596}"
10,Okg2LH6XKzY,"{0: 0.5994208799115517, 1: 0.0, 2: 1.0529456153499312e-05, 3: 7.01963743574718e-06, 4: 7.019637435636103e-06, 5: 0.39705175227699563, 6: 7.370619307506363e-05}"
11,ZDni5sKbAII,"{0: 0.2924804343227803, 1: 0.0008037791722483341, 2: 0.6583198195022203, 3: 0.02942959881548327, 4: 0.004977790312345763, 5: 0.002252696890643578, 7: 0.00619403511245864, 6: 0.00016216597334839378}"
12,6qGhSAeFV0Y,"{2: 0.7494410776973351, 3: 0.0021310399284581224, 4: 0.020573097523617405, 5: 0.2152112488464794, 6: 0.0021548238562308464, 9: 0.0011749260319846022, 8: 0.0, 10: 0.0012129803164213637, 7: 0.0017885513685272914, 1: 0.0, 0: 0.0012653049575220843}"
13,0HWh52wdUmY,"{2: 0.6213440464589022, 3: 0.0028678825003481683, 4: 0.35885523358723925, 6: 0.0018058511167239888, 9: 0.004200393786917486, 7: 0.005405620413277315, 8: 0.0013444442234641363, 5: 0.0006602891748372919, 1: 0.00011137407768335716}"
14,ylQrshWAjuE,"{1: 0.001743763623153342, 2: 0.4808468555743928, 3: 0.003370469040122715, 4: 0.5011867280213129, 5: 0.0019254056672318018, 7: 0.0006337289093404364, 10: 0.00023411641236780953, 9: 0.0025833535157826493, 6: 0.00028255429078871686, 8: 0.0008355534027609246, 0: 6.458383789442745e-05}"
15,h2fUl0Ldxgg,"{0: 0.0006732573493640975, 1: 0.2274219890193895, 2: 0.7557248592674964, 3: 0.000964278268121399, 5: 0.002189172284383978, 6: 0.004960386406282713, 4: 0.003926610605323455}"
