,episode_id,top_words
0,5PrLGhJnO7I,"{'know': 349, 'peopl': 286, 'go': 255, 'think': 252, 'get': 199, 'right': 190, 'thing': 182, 'realli': 171, 'one': 165, 'well': 157, 'say': 157, 'got': 121, 'mean': 121, 'trump': 111, 'want': 109, 'would': 107, 'lot': 105, 'war': 104, 'way': 96, 'could': 96, 'look': 92, 'guy': 92, 'time': 88, 'oh': 86, ""'ve"": 81, 'someth': 76, 'even': 72, 'talk': 71, 'kind': 65, 'year': 65, 'see': 63, 'happen': 61, 'let': 60, 'much': 58, 'biden': 57, 'good': 57, 'make': 55, 'said': 53, 'countri': 53, 'never': 52, 'new': 51, 'work': 50, ""'d"": 50, 'problem': 50, ""'ll"": 49, 'world': 48, 'real': 48, 'ever': 48, 'also': 47, 'idea': 46, 'okay': 45, 'donald': 44, 'mayb': 44, 'presid': 43, 'ca': 43, 'mani': 42, 'back': 41, 'live': 41, 'start': 40, 'day': 39, 'give': 39, 'york': 38, 'might': 38, 'end': 38, 'system': 37, 'come': 37, 'gon': 37, 'na': 37, 'tri': 37, 'alway': 36, 'stuff': 35, 'sure': 35, 'differ': 35, 'great': 35, 'big': 35, 'littl': 34, 'weird': 34, 'drug': 34, 'show': 33, 'call': 33, 'still': 33, 'money': 33, 'whole': 33, 'everybodi': 33, 'cop': 33, 'basic': 32, 'probabl': 32, 'everyth': 31, 'actual': 31, 'take': 31, 'pretti': 30, 'us': 30, 'joe': 29, 'rememb': 29, 'goe': 29, 'crazi': 28, 'part': 28, 'first': 28, 'around': 28, 'bad': 27}"
1,C8M1ZRYt-2Q,"{'know': 683, 'mean': 162, 'thing': 126, 'human': 110, 'one': 101, 'kind': 86, 'peopl': 76, 'lot': 74, 'think': 69, 'skeleton': 69, 'right': 69, 'well': 68, 'speci': 64, 'find': 61, 'time': 58, 'anyway': 56, 'year': 55, 'look': 54, 'differ': 52, 'actual': 51, 'get': 51, 'someth': 49, 'sort': 47, 'go': 46, 'stuff': 46, 'say': 46, 'interest': 41, 'long': 39, 'bone': 39, 'fossil': 39, 'would': 38, 'big': 38, 'realli': 36, 'arti': 36, 'found': 36, 'talk': 34, 'come': 34, 'guy': 34, 'anoth': 34, 'way': 33, 'okay': 33, 'littl': 33, 'part': 33, 'call': 33, 'much': 32, 'stori': 32, ""'ve"": 32, 'question': 32, 'start': 30, 'walk': 30, 'piec': 30, 'could': 30, 'probabl': 30, 'pretti': 28, ""'ll"": 28, 'old': 28, 'whole': 27, 'ancient': 27, 'place': 27, 'back': 26, 'ancestor': 26, 'see': 26, 'got': 25, 'million': 25, 'basic': 25, 'scienc': 24, 'take': 24, 'luci': 24, 'tell': 23, 'field': 23, 'mani': 22, 'work': 21, 'point': 21, 'also': 21, 'name': 21, 'africa': 21, 'make': 20, 'book': 19, 'oh': 19, 'alreadi': 19, 'ethiopia': 19, 'chimp': 19, 'canin': 19, 'sure': 18, 'least': 18, 'team': 18, 'discov': 18, 'put': 18, 'theori': 18, 'whatev': 18, 'great': 17, 'complet': 17, 'came': 17, 'research': 17, 'mayb': 17, 'hand': 17, 'still': 17, 'famili': 17, 'teeth': 17, 'sometim': 17}"
2,surnFz_pZE4,"{'know': 340, 'peopl': 294, 'thing': 204, 'go': 185, 'right': 161, 'think': 156, 'one': 151, 'get': 147, 'would': 142, 'talk': 109, 'oh': 108, 'look': 106, 'want': 103, 'guy': 102, 'say': 101, 'way': 91, 'see': 88, 'could': 86, 'got': 85, 'time': 84, 'mean': 76, 'kind': 72, 'show': 71, 'well': 70, 'realli': 69, 'come': 68, 'man': 67, ""'ve"": 64, 'someth': 61, 'make': 61, 'lot': 60, ""'d"": 58, 'someon': 56, 'littl': 53, 'happen': 53, 'back': 50, 'real': 50, ""'ll"": 49, 'feel': 48, 'good': 48, 'year': 48, 'even': 45, 'book': 45, 'podcast': 44, 'find': 44, 'ca': 44, 'movi': 44, 'said': 42, 'thought': 40, 'idea': 40, 'big': 39, 'na': 39, 'might': 38, 'mani': 37, 'gon': 37, 'hunt': 37, 'tell': 36, 'put': 36, 'sort': 36, 'use': 35, 'call': 35, 'kill': 34, 'actual': 34, 'mayb': 34, 'rememb': 34, 'around': 34, 'never': 34, 'alway': 34, 'tri': 34, 'great': 34, 'work': 33, 'place': 33, 'stuff': 32, 'first': 32, 'take': 32, 'bone': 31, 'differ': 31, 'two': 31, 'bear': 30, 'ever': 30, 'read': 30, 'point': 30, 'watch': 29, 'person': 29, 'away': 27, 'weird': 27, 'sens': 27, 'much': 27, 'head': 27, 'whatev': 26, 'dude': 26, 'also': 26, 'fight': 26, 'still': 25, 'wow': 25, 'convers': 25, 'keep': 24, 'new': 24, 'let': 24, 'found': 24}"
3,OaTKaHKCAFg,"{'know': 315, 'right': 207, 'thing': 205, 'peopl': 197, 'think': 189, 'get': 138, 'say': 133, 'go': 116, 'mean': 106, 'one': 95, 'realli': 90, 'facebook': 87, 'would': 85, 'actual': 83, 'someth': 81, 'want': 79, 'attent': 78, 'way': 75, 'social': 72, 'well': 67, 'use': 67, 'sort': 65, 'make': 64, 'could': 55, 'problem': 55, 'see': 54, 'kind': 52, 'us': 52, ""'ve"": 50, 'look': 50, 'even': 50, 'time': 49, 'let': 49, 'system': 48, 'work': 46, 'good': 43, 'tri': 43, 'media': 42, 'year': 42, 'world': 42, 'film': 40, 'much': 40, 'talk': 40, 'countri': 39, 'googl': 37, 'compani': 37, 'show': 36, 'back': 35, 'friend': 34, 'issu': 32, 'youtub': 32, 'stuff': 32, 'video': 32, 'inform': 32, 'got': 31, 'group': 30, 'happen': 30, 'lot': 29, 'new': 29, 'real': 29, 'keep': 29, 'said': 29, ""'ll"": 29, 'need': 29, 'call': 28, 'chang': 27, 'technolog': 27, 'start': 27, 'human': 27, 'podcast': 27, 'come': 27, 'differ': 27, 'addict': 27, 'creat': 26, 'oh': 26, 'societi': 26, 'pay': 26, 'imagin': 26, 'feel': 25, 'phone': 25, 'take': 25, 'appl': 25, 'million': 24, 'kid': 24, 'never': 24, 'money': 24, 'neg': 24, 'day': 23, 'base': 23, 'interest': 23, 'platform': 23, 'first': 22, 'give': 22, 'twitter': 22, 'free': 22, 'compet': 22, 'also': 22, 'manipul': 21, 'becom': 21, 'watch': 21}"
4,4ugp6FBq6E0,"{'know': 379, 'peopl': 235, 'think': 202, 'right': 181, 'go': 158, 'get': 144, 'say': 136, 'would': 135, 'thing': 130, ""'ve"": 115, 'one': 110, 'mean': 106, 'realli': 103, 'way': 96, 'want': 95, 'could': 87, 'well': 81, 'time': 79, 'look': 79, 'make': 71, 'talk': 70, 'said': 70, 'idea': 69, 'guy': 68, 'good': 67, 'person': 67, 'lot': 66, 'show': 66, 'book': 58, 'come': 57, 'see': 56, 'someon': 55, 'work': 52, 'someth': 52, 'alway': 50, 'great': 49, 'much': 45, 'also': 45, 'happi': 45, 'got': 45, 'life': 43, 'mani': 43, 'never': 43, 'sort': 42, 'even': 42, 'tell': 42, 'actual': 41, 'differ': 40, 'done': 40, 'funni': 39, 'na': 38, 'need': 37, 'term': 37, 'first': 37, 'ca': 37, 'gon': 37, 'kind': 36, 'becom': 36, 'call': 36, 'men': 35, 'women': 35, 'joe': 32, 'mayb': 32, 'real': 32, 'love': 32, 'take': 31, 'year': 30, 'thought': 30, 'word': 30, 'might': 29, 'start': 29, 'tri': 29, 'social': 29, 'podcast': 29, 'man': 28, 'feel': 28, 'happen': 28, 'trump': 28, 'mind': 27, 'intellectu': 27, 'point': 27, ""'d"": 27, 'day': 26, 'today': 26, 'better': 26, 'give': 26, 'speak': 26, 'whatev': 26, 'comedi': 26, 'use': 25, 'sens': 25, 'exactli': 25, 'critic': 25, 'cours': 25, 'let': 25, 'put': 25, 'ever': 24, 'state': 24, 'interest': 24, 'probabl': 24}"
5,t0rcLsoIKgA,"{'know': 440, 'peopl': 291, 'go': 181, 'think': 167, 'say': 160, 'one': 153, 'thing': 137, 'right': 123, 'realli': 123, 'kind': 114, 'way': 113, ""'ve"": 103, 'mean': 102, 'want': 102, 'get': 100, 'time': 95, 'talk': 92, 'lot': 91, 'said': 79, 'would': 71, 'well': 61, 'someth': 57, 'never': 57, 'even': 56, 'year': 55, 'govern': 55, 'make': 53, 'power': 50, 'show': 49, 'becom': 49, 'see': 49, 'start': 47, 'person': 45, 'us': 45, 'someon': 44, 'much': 44, 'feel': 44, 'work': 43, 'journalist': 43, 'look': 42, 'could': 41, 'world': 40, 'got': 39, 'reason': 39, 'life': 38, 'trump': 38, 'actual': 37, 'alway': 36, ""'ll"": 36, 'podcast': 35, 'oh': 34, 'twitter': 34, 'mani': 33, 'part': 33, 'thought': 33, 'snowden': 32, 'idea': 32, 'biden': 32, 'tri': 31, 'love': 31, 'real': 31, 'believ': 31, 'friend': 30, 'first': 29, 'differ': 29, 'also': 29, 'come': 28, 'put': 28, 'true': 28, 'question': 28, 'ca': 28, 'joe': 27, 'use': 27, 'interest': 27, 'human': 27, 'tran': 27, 'live': 26, 'least': 25, 'take': 25, 'express': 25, 'find': 25, 'brazil': 24, 'back': 24, 'anyth': 24, 'good': 24, 'media': 24, 'abil': 24, 'hope': 23, 'somebodi': 23, 'na': 23, 'everi': 23, 'hate': 23, 'tell': 23, 'report': 23, 'two': 23, 'understand': 23, 'stori': 22, 'institut': 22, 'day': 22, 'commun': 22}"
6,jdVso9FSkmE,"{'go': 330, 'say': 287, 'know': 224, 'right': 217, 'peopl': 206, 'get': 199, 'think': 187, 'want': 180, 'well': 168, 'said': 151, 'thing': 146, ""'ve"": 137, 'let': 129, 'okay': 126, 'got': 125, 'mean': 115, 'look': 109, 'talk': 105, 'one': 85, 'good': 82, 'time': 82, 'joe': 80, 'trump': 79, 'lot': 73, 'year': 72, 'would': 72, 'oh': 72, 'listen': 72, 'tri': 72, 'make': 71, 'na': 65, 'someth': 65, 'even': 64, 'come': 62, 'tell': 62, 'guy': 62, ""'ll"": 62, 'gon': 61, 'back': 60, 'realli': 58, 'understand': 57, 'take': 56, 'stuff': 56, 'carbon': 55, 'big': 52, 'us': 52, 'call': 52, 'could': 52, 'way': 51, 'new': 50, 'ye': 49, 'use': 47, 'problem': 46, 'show': 45, 'happen': 44, 'ca': 43, 'see': 43, 'actual': 43, 'day': 42, 'goe': 42, 'need': 42, 'ago': 41, 'power': 41, 'put': 40, 'love': 40, 'control': 39, 'give': 39, 'find': 39, 'bad': 38, 'elect': 37, 'human': 37, 'told': 36, 'done': 36, 'went': 36, 'real': 35, 'world': 34, 'vaccin': 34, 'believ': 32, 'deal': 32, 'kid': 31, 'run': 31, 'also': 31, 'came': 31, 'crazi': 31, 'everybodi': 31, 'idea': 31, 'hold': 31, 'alex': 30, 'two': 30, 'first': 30, 'littl': 29, 'great': 29, 'dioxid': 29, 'start': 28, 'whatev': 28, 'million': 28, 'agre': 28, 'alway': 27, 'true': 27, 'tech': 27}"
7,qxOeWuAHOiw,"{'know': 443, 'peopl': 267, 'go': 183, 'say': 177, 'thing': 157, 'think': 105, 'would': 103, 'way': 91, 'make': 91, 'want': 90, 'right': 89, 'one': 87, 'got': 84, 'put': 77, 'god': 76, 'talk': 76, 'said': 74, 'look': 74, 'get': 72, 'mean': 71, 'see': 61, 'idea': 61, 'time': 56, 'realli': 54, 'us': 54, 'world': 53, 'need': 52, 'money': 51, 'could': 50, ""'ve"": 48, 'feel': 48, 'someth': 47, 'na': 47, 'black': 47, 'guy': 46, 'even': 46, 'come': 45, 'take': 45, 'let': 45, 'music': 44, 'work': 43, 'made': 42, 'gon': 42, 'differ': 41, 'thought': 40, 'use': 38, 'show': 37, 'life': 37, 'well': 35, 'person': 35, 'design': 35, 'tri': 35, 'lot': 34, 'man': 33, 'presid': 33, 'creat': 33, 'start': 32, ""'ll"": 32, 'went': 32, 'call': 31, 'back': 30, 'industri': 30, 'someon': 30, 'run': 28, 'leader': 28, 'word': 28, 'america': 28, 'school': 28, 'love': 27, 'good': 26, 'fear': 26, 'day': 25, 'rememb': 25, 'okay': 25, 'part': 25, 'still': 25, 'medic': 25, 'children': 25, 'year': 24, 'servic': 24, 'kill': 24, 'ca': 24, 'famili': 23, 'believ': 23, 'actual': 23, 'deal': 23, 'everyth': 23, 'ask': 23, 'understand': 23, 'white': 23, 'ye': 22, 'two': 22, 'kind': 22, 'new': 22, 'keep': 22, 'happen': 21, 'first': 21, 'oh': 21, 'give': 21, 'also': 21}"
8,cz0ka4DuxPw,"{'know': 219, 'go': 120, 'right': 95, 'thing': 95, 'get': 88, 'peopl': 79, 'got': 75, 'one': 63, 'kind': 61, 'think': 56, 'well': 54, 'would': 52, 'oh': 50, 'realli': 48, 'come': 43, 'okay': 42, ""'ve"": 41, 'wine': 40, 'make': 39, 'look': 39, 'want': 37, 'good': 35, 'gon': 35, 'na': 35, 'could': 35, 'say': 33, 'guy': 32, 'time': 31, 'see': 30, 'littl': 30, 'talk': 29, 'put': 29, 'tri': 29, 'watch': 28, 'take': 28, 'lot': 27, 'back': 26, 'start': 25, 'actual': 25, 'great': 25, 'mayb': 25, 'day': 25, 'work': 24, 'mean': 24, ""'ll"": 23, 'around': 23, 'happen': 22, 'year': 22, 'fight': 22, 'stuff': 21, 'someth': 21, 'probabl': 21, 'way': 20, 'friend': 20, 'ca': 19, 'new': 18, 'use': 18, 'rememb': 18, 'even': 18, 'still': 18, 'kick': 18, 'walk': 17, 'place': 17, 'old': 17, 'sure': 17, 'show': 17, 'dude': 16, 'ye': 16, 'interest': 16, 'love': 16, 'live': 16, 'hit': 16, 'abl': 16, 'song': 15, 'close': 15, 'never': 15, 'long': 15, 'everyth': 15, 'two': 15, 'pretti': 15, 'posit': 15, 'hip': 15, 'book': 14, 'man': 14, 'first': 14, 'next': 14, 'thought': 14, 'food': 14, 'pasta': 14, 'need': 14, 'side': 13, 'also': 13, 'let': 13, 'play': 13, 'hard': 13, 'much': 13, ""'d"": 13, 'togeth': 13, 'alway': 12, 'amaz': 12}"
9,BBCl9A9NlRw,"{'know': 246, 'go': 211, 'peopl': 144, 'get': 132, 'got': 107, 'thing': 103, 'think': 92, ""'ve"": 76, 'want': 73, 'one': 72, 'well': 68, 'mean': 65, 'time': 59, 'back': 58, 'look': 58, 'someth': 55, 'say': 55, 'come': 52, 'work': 52, 'right': 51, 'lot': 51, 'way': 50, 'realli': 49, 'austin': 49, 'take': 47, 'life': 43, 'see': 43, 'good': 42, 'make': 41, 'day': 41, 'need': 40, 'oh': 39, 'would': 39, 'love': 37, 'could': 36, 'talk': 35, 'kind': 34, 'much': 34, 'feel': 33, 'guy': 30, 'happen': 30, 'place': 30, 'tri': 29, 'great': 29, 'let': 29, ""'d"": 28, 'said': 28, 'gon': 28, 'na': 28, 'man': 26, 'year': 26, 'person': 26, 'someon': 25, 'differ': 25, 'put': 24, 'job': 23, 'movi': 23, 'call': 23, 'still': 23, 'stori': 23, 'hey': 22, 'first': 22, 'never': 22, 'even': 22, 'alway': 21, 'tell': 21, 'ca': 21, 'best': 21, 'better': 20, 'mani': 20, 'us': 20, 'town': 20, 'ye': 20, 'understand': 20, 'book': 19, 'thought': 19, 'commun': 19, 'rememb': 19, ""'ll"": 19, 'use': 19, 'show': 18, 'start': 18, 'world': 18, 'hard': 18, 'bodi': 18, 'give': 18, 'also': 18, 'problem': 18, 'live': 17, 'night': 17, 'weight': 17, 'enough': 17, 'write': 16, 'big': 16, 'done': 16, 'mayb': 16, 'went': 16, 'move': 16, 'goe': 16, 'role': 16}"
